iter	Passed	Remaining
0	142	142249
1	144	71862
2	145	48437
3	147	36788
4	149	29680
5	150	24952
6	152	21568
7	153	19050
8	154	17062
9	156	15486
10	160	14393
11	161	13318
12	163	12393
13	164	11600
14	166	10923
15	167	10331
16	169	9800
17	170	9328
18	173	8961
19	175	8591
20	176	8249
21	178	7934
22	189	8063
23	192	7846
24	194	7596
25	196	7361
26	198	7138
27	199	6937
28	201	6745
29	204	6620
30	207	6484
31	208	6320
32	210	6161
33	211	6013
34	213	5879
35	214	5744
36	217	5655
37	219	5558
38	221	5446
39	222	5336
40	223	5236
41	227	5180
42	229	5097
43	231	5028
44	232	4942
45	234	4855
46	235	4772
47	237	4712
48	239	4642
49	240	4569
50	241	4499
51	243	4433
52	244	4374
53	246	4317
54	249	4284
55	251	4235
56	253	4187
57	254	4134
58	256	4097
59	258	4048
60	259	4000
61	261	3954
62	262	3910
63	264	3864
64	265	3822
65	267	3781
66	268	3741
67	271	3716
68	273	3683
69	274	3647
70	275	3610
71	277	3573
72	278	3539
73	281	3519
74	282	3489
75	284	3458
76	286	3428
77	287	3401
78	289	3376
79	291	3347
80	293	3330
81	295	3308
82	296	3274
83	297	3248
84	299	3222
85	301	3202
86	302	3178
87	304	3152
88	305	3128
89	307	3106
90	308	3083
91	310	3059
92	311	3038
93	312	3016
94	315	3006
95	317	2986
96	318	2967
97	320	2946
98	321	2927
99	323	2909
100	325	2897
101	326	2877
102	328	2859
103	330	2845
104	331	2829
105	333	2813
106	335	2797
107	337	2790
108	339	2775
109	341	2759
110	342	2743
111	344	2728
112	346	2716
113	347	2699
114	348	2684
115	350	2670
116	351	2654
117	353	2639
118	354	2625
119	356	2610
120	357	2597
121	359	2590
122	361	2580
123	363	2568
124	365	2555
125	366	2542
126	367	2528
127	369	2517
128	370	2503
129	372	2490
130	373	2479
131	375	2466
132	376	2454
133	378	2442
134	379	2431
135	384	2440
136	385	2429
137	387	2417
138	388	2406
139	390	2396
140	391	2386
141	392	2372
142	399	2395
143	402	2393
144	406	2396
145	408	2390
146	410	2383
147	413	2378
148	415	2375
149	420	2382
150	426	2398
151	428	2389
152	429	2379
153	434	2386
154	436	2379
155	438	2374
156	441	2369
157	442	2360
158	444	2350
159	446	2343
160	447	2330
161	448	2320
162	450	2315
163	452	2306
